,index,id,target,enzyme,smile,name
369,369,DB00749,P35354|P23219|P19793,P11712|O60656|P35503|Q9HAW8|P16662,59|68|80|294|361|379|389|435|650|656|659|706|807|901|905|926|950|1017|1039|1057|1060|1088|1105|1114|1154|1349|1351|1357|1380|1530|1560|1573|1597|1737|1738|1745|1750|1799|1843|1862|1863|1873|1917|1941|1993,Etodolac
370,370,DB00751,P35367|P25021|P35348|P08913|P28223|P34969,P20813|P10635|P08684,202|300|371|378|383|542|600|716|880|881|926|935|1019|1027|1088|1093|1171|1199|1236|1295|1312|1358|1380|1457|1564|1641|1647|1662|1708|1750|1873|1922|1960,Epinastine
371,371,DB00752,P27338|P21397,P10635|P11712|P33261|P05177|P05181|P11509,389|455|822|926|1019|1088|1171|1196|1199|1250|1279|1292|1296|1380|1663|1750|1832|1873,Tranylcypromine
372,372,DB00753,P14867|P98194|P23415|P42261|Q09470|P30049|P0DP23|P14867|P47869|P34903|P48169|P31644|Q16445|P18505|P47870|P28472|O14764|P78334|Q8N1C3|P18507|Q99928|O00591|Q9UN88|P43681|P17787,P05181|P20813|P03886,1|114|136|278|487|695|723|914|1050|1378|1453|1683|1706|1725|1810|1928,Isoflurane
373,373,DB00755,P28702|P48443|P13631|P00352|Q8NFJ5|O94788|P49788|P10276|P10826|P31025|Q9NY56|P02753|Q16654|P19793|O43174|Q9NR63|Q6V0L0|O60760,P24462|P20813|P10632|P11712|P08684|P20815|P11509|P33260|P04798|Q02928,31|55|173|259|389|432|444|618|650|694|807|835|926|953|976|1017|1028|1057|1060|1120|1162|1274|1288|1319|1349|1380|1500|1512|1524|1576|1626|1666|1722|1738|1742|1827|1917|1956|1957,Tretinoin
374,374,DB00757,P46098,P08684|P10635|P11712,2|5|12|119|145|155|314|328|370|473|650|695|758|806|807|926|935|1019|1071|1088|1114|1126|1199|1292|1302|1357|1380|1573|1642|1679|1681|1750|1783|1834|1873|1879|1910|1916|1917|1937|1946|1991|2000|2010,Dolasetron
375,375,DB00758,Q9H244,P08684|P20813|P20815|P33261|P11712|P05177|P10632|P23141,1|14|42|54|117|147|237|366|554|561|581|585|650|675|695|807|841|842|856|926|929|935|974|1051|1057|1088|1152|1192|1199|1236|1265|1357|1380|1477|1480|1487|1567|1683|1738|1750|1840|1873|1917|1946|2021,Clopidogrel
376,376,DB00759,P02359|P0AG59|P0A7V3|P0A7W7|P0A7U3|P04156|C9EH48|Q9UM07,P08684,140|253|309|314|423|432|519|525|595|650|658|673|807|824|829|874|881|926|1019|1039|1057|1060|1088|1092|1154|1163|1171|1274|1292|1296|1341|1380|1395|1460|1471|1476|1488|1582|1602|1607|1630|1635|1652|1747|1750|1760|1788|1823|1831|1873|1917|1950|1980|2027|2029|2031,Tetracycline
377,377,DB00760,P24228,P14489,0|1|5|116|208|227|263|283|314|326|340|362|389|430|438|456|470|650|687|703|807|881|926|935|936|960|1019|1057|1065|1114|1163|1292|1309|1348|1380|1430|1507|1516|1574|1611|1638|1653|1676|1710|1729|1817|1895|1917|1922|1958|2043,Meropenem
378,378,DB00762,P11387|Q969P6,P08684|P20815|P20813|P24462|P22309|O60656|P23141|O00748|P06276,2|60|80|97|156|294|314|322|323|361|369|375|378|389|392|440|441|504|541|555|558|576|609|650|652|656|657|695|718|767|807|847|856|875|899|926|935|961|1011|1019|1028|1057|1060|1065|1097|1135|1154|1213|1257|1272|1292|1325|1351|1357|1380|1465|1480|1496|1524|1565|1692|1729|1730|1750|1786|1799|1818|1854|1855|1873|1910|1917|1946|1967|1980|1998|2009|2034,Irinotecan
379,379,DB00763,P07202,P05177|P11509|P20813|P33261|P11712|P10635|P05181|P08684|P31513,97|501|806|823|935|1057|1101|1111|1114|1145|1380|1409|1506|1700|1717|1800|1801|1873,Methimazole
380,380,DB00764,P04150|P06401,P10632|P08684|P20815,37|61|80|84|113|182|314|434|450|504|519|547|650|667|679|760|787|807|926|967|1019|1020|1057|1060|1109|1130|1154|1165|1194|1257|1274|1292|1309|1325|1380|1428|1436|1448|1556|1584|1609|1624|1655|1683|1738|1791|1873|1909|1917|1966|1975|1997|2021|2026,Mometasone
381,381,DB00769,P04150,P08684,51|80|84|88|147|182|223|242|251|264|279|294|314|315|408|479|504|519|529|622|639|650|679|695|807|841|849|881|897|923|926|932|1009|1019|1057|1060|1154|1162|1190|1219|1257|1274|1286|1307|1325|1380|1386|1436|1489|1531|1544|1604|1738|1762|1797|1873|1884|1917|1938|1981|1997|2004,Hydrocortamate
382,382,DB00772,P06276,P05177|P20813,1|77|80|97|116|147|192|260|294|353|445|601|650|658|695|807|841|893|1057|1074|1193|1238|1290|1297|1386|1719|1722|1729|1818|1917|2033,Malathion
383,383,DB00773,P11388|Q02880,P08684|P05177|P05181|P20815|P22309|P30711|P09211|P35354|P23219,7|20|52|116|202|221|227|249|307|314|441|477|481|489|502|622|650|656|695|723|727|738|802|807|831|841|869|875|902|926|941|990|1019|1027|1057|1234|1257|1279|1309|1312|1323|1349|1380|1381|1453|1457|1471|1487|1499|1536|1602|1716|1722|1726|1770|1800|1819|1863|1873|1905|1921|1923|1970|1976|1986|2021,Etoposide
384,384,DB00776,P35498|Q9Y5Y9|Q9UI33|Q99250|Q9NY46|P35499|Q14524|Q01118|Q9UQD0|Q15858|Q07699|O60939|Q9NY72|Q8IWT1,Q04828|P52895|P42330|P17516|P16152|O75828|P33261|P08684|P20815,140|300|314|352|405|435|461|623|650|751|807|926|935|984|1044|1066|1088|1153|1171|1199|1236|1295|1380|1564|1647|1708|1739|1750|1873|1917|2043,Oxcarbazepine
385,385,DB00778,P0A7J6|P08183,P08684|P20813,4|13|42|80|129|140|206|231|248|251|269|278|294|314|349|427|438|486|560|612|644|649|650|656|678|679|687|695|722|725|750|807|841|850|869|881|886|893|926|941|960|1005|1019|1057|1060|1093|1095|1127|1154|1163|1173|1217|1224|1257|1266|1274|1292|1303|1309|1313|1319|1323|1341|1366|1380|1381|1395|1427|1450|1454|1487|1491|1509|1546|1629|1635|1649|1679|1763|1779|1783|1788|1885|1903|1921|1950|1956|1991|1992,Roxithromycin
386,386,DB00780,P21397|P27338|Q16853|P80404|P24298|Q8TD30|Q9UGI5,P21397|P05181|P27338|P33261|P10632|P08684|P20815|P24462|P10635|P08684|Q9HB55|P20815|P24462,80|389|594|667|953|1045|1066|1088|1152|1171|1199|1243|1380|1507|1579|1701|1750|1754|1873,Phenelzine
387,387,DB00783,P03372|Q92731|O75469|P43681|Q99527|P00846|Q14457,P08684|P05177|P20815|P24462|P22309|P04798|Q16678|P33261|P10632|P11712|P54855|P21964|P22309|Q9HAW8|P35503|P22310|P19224|Q9HAW7|Q9HAW9|O60656|P54855|P06133|P16662,105|381|408|455|519|561|562|622|713|728|745|760|807|823|875|926|1019|1027|1039|1057|1060|1073|1142|1162|1236|1257|1274|1313|1325|1380|1477|1602|1660|1738|1750|1873|1911|1941|1951,Estradiol
388,388,DB00784,P35354|P23219,P11712|P10632|O60656,94|252|389|456|491|500|650|807|911|1039|1047|1057|1088|1152|1199|1224|1380|1389|1391|1447|1614|1696|1722|1750|1873|1906|1917|1991|1999,Mefenamicacid
389,389,DB00787,P03176|P04293|P09252,Q9QNF7|Q16774|P15531|P22392|P30613|P14618|P12277|P06732|P17540|P12532|P00558|P07205|Q9P2R7|P53597|Q96I99|Q16822|P35558|Q8N142|P30520,13|80|134|221|222|314|334|378|405|473|650|695|697|807|852|860|896|932|935|979|1069|1095|1114|1171|1369|1375|1380|1452|1455|1457|1681|1724|1725|1745|1855|1873|1959|1992|1994,Acyclovir
390,390,DB00788,P23219|Q51911|P35354,P11712|P05177|P10632|P16662|P35503|P19224|Q9HAW7|Q9HAW9|O60656|Q9HAW8,1|203|283|322|389|650|695|718|781|807|835|841|875|900|921|1057|1257|1365|1380|1536|1750|1844|1853|1855|1873|1906|1917|1972|2021,Naproxen
391,391,DB00790,P12821|Q6FHJ7,P06276,1|80|101|108|147|153|255|276|283|294|389|500|531|585|650|695|736|739|794|807|808|890|926|935|979|989|1019|1028|1057|1075|1121|1152|1163|1169|1238|1292|1325|1380|1394|1431|1452|1500|1583|1689|1722|1818|1824|1917,Perindopril
392,392,DB00792,P35367,P10635,80|280|378|389|448|495|507|604|652|693|881|1008|1057|1066|1088|1147|1155|1163|1199|1380|1452|1534|1687|1750|1754|1759|1866|1873|1918|1951|2031,Tripelennamine
393,393,DB00794,P14867|P47869|P34903|P48169|P31644|Q16445|P43681|P36544|P42262|Q13002|P14867|P47869|P34903|P48169|P31644|Q16445|P18505|P47870|P28472|O14764|P78334|Q8N1C3|P18507|Q99928|O00591|Q9UN88,P11712|P33261|P05181|P08684|P05177|P22309|Q9HAW8|P35503|P22310|P19224|Q9HAW7|Q9HAW9|O60656|P54855|P06133|P16662,80|117|151|294|314|336|389|428|544|556|650|713|772|926|1057|1060|1088|1098|1114|1199|1210|1351|1380|1714|1750|1866|1873,Primidone
394,394,DB00796,P30556,P11712|P10632|P35503|P23219,1|2|47|69|73|74|80|119|145|155|186|222|237|245|248|263|283|289|293|294|310|335|352|378|461|466|527|650|662|695|802|807|873|890|896|926|929|935|984|1000|1019|1028|1039|1057|1088|1097|1114|1126|1147|1160|1164|1199|1225|1238|1325|1380|1410|1440|1447|1452|1523|1585|1593|1606|1609|1683|1750|1754|1765|1770|1776|1855|1865|1873|1917|1946|1991,Candesartancilexetil
395,395,DB00799,P10276|P28702|P13631|P10826,P10632,50|80|102|145|147|157|189|249|294|330|378|430|560|650|657|674|675|695|744|759|789|807|875|926|949|953|1057|1060|1162|1238|1274|1377|1380|1385|1452|1522|1535|1537|1697|1701|1722|1735|1750|1768|1822|1873|1905|1917|1954|1980|1999|2014,Tazarotene
396,396,DB00802,P35372,P08684|P24462|P20815,10|34|80|158|237|240|288|294|314|378|389|435|616|650|695|712|771|807|841|881|898|915|916|926|927|935|1005|1057|1060|1065|1088|1096|1145|1162|1199|1238|1280|1380|1441|1469|1480|1482|1562|1629|1739|1750|1783|1784|1791|1873|1917|1953|2037,Alfentanil
397,397,DB00805,P21397|P41595|P28223|P28335|P22303|P31645|P21728|P14416|P11229,P10635,57|58|80|221|378|389|523|625|656|667|708|714|736|875|926|935|942|950|980|1057|1088|1145|1152|1160|1164|1199|1380|1391|1399|1405|1416|1439|1441|1480|1482|1722|1750|1775|1791|1849|1873|1971,Minaprine
398,398,DB00806,P30542|P29274|P21589,P05177,33|80|314|378|463|504|564|650|768|771|802|807|893|932|935|1017|1024|1043|1057|1145|1203|1214|1267|1354|1380|1409|1440|1452|1517|1541|1550|1564|1620|1696|1873|1911|1914|1917,Pentoxifylline
399,399,DB00808,P55017,P08684|P07099,231|319|350|366|392|486|526|561|567|650|666|691|707|734|807|833|875|926|935|1019|1057|1088|1152|1171|1199|1200|1230|1236|1295|1300|1309|1380|1385|1398|1430|1476|1504|1607|1647|1679|1683|1697|1708|1750|1766|1873|1917|1974,Indapamide
400,400,DB00810,P11229,P10635,2|41|80|90|111|114|273|389|605|718|807|830|848|926|935|1019|1028|1054|1083|1088|1145|1199|1292|1308|1379|1380|1389|1417|1422|1480|1482|1750|1782|1791|1873|1908|1964|1998|2017|2032,Biperiden
401,401,DB00811,P20839|P12268|P26676|P16502|P12823,P55263|P49902,75|80|140|222|309|378|387|454|610|650|656|807|808|932|935|965|1019|1171|1176|1234|1257|1380|1438|1452|1487|1516|1520|1611|1736|1764|1844|1873|1876|1917|1921|1956|1959,Ribavirin
402,402,DB00812,P35354|Q16647|P23219,P11712|P08684,5|80|167|294|301|314|389|591|650|725|794|821|832|935|984|1019|1049|1057|1088|1103|1199|1318|1380|1750|1825|1873|1911|1927,Phenylbutazone
403,403,DB00813,P35372|P41143|P41145|P08183,P08684|P24462,80|218|288|294|346|389|590|650|807|809|881|898|926|935|1019|1045|1051|1057|1066|1088|1096|1145|1199|1238|1243|1261|1325|1380|1480|1482|1629|1750|1754|1791|1798|1800|1828|1873|1917|2043,Fentanyl
404,404,DB00814,P35354|P23219,P11712|P08684|P52209|P10632,162|175|207|352|378|381|385|469|470|486|511|588|624|650|675|721|807|935|984|987|990|1057|1088|1102|1145|1151|1152|1199|1380|1389|1428|1434|1452|1523|1535|1602|1722|1750|1782|1816|1864|1873|1917|1948|2028|2032,Meloxicam
405,405,DB00817,P0AES6|P0AFI2,P05177,34|45|61|80|294|314|378|383|389|453|456|464|490|525|552|650|785|807|875|896|935|1047|1057|1160|1208|1237|1357|1380|1453|1455|1529|1575|1603|1729|1733|1750|1866|1873|1917|1964|1991,Rosoxacin
406,406,DB00818,P47870|P28472|P35499|Q99250|P14867|P47869|P34903|P48169|P31644|Q16445|P18505|P47870|P28472|O14764|P78334|Q8N1C3|P18507|Q99928|O00591|Q9UN88,P11712|P20813|Q9HAW9|O60656|P22309|O00519|P05181|Q16678|P04798|P05177|P33260|P33261|P10632|P19224,1|121|202|237|283|581|598|700|807|1039|1057|1088|1380|1602|1750|1859|1873,Propofol
407,407,DB00819,P00915|P00918|P22748|O43570|Q9ULX7|P07451|P43166|P29972,P08684,162|228|245|350|371|378|385|485|613|650|675|807|833|849|996|1017|1056|1057|1152|1164|1171|1380|1476|1607|1707|1816|1872|1917,Acetazolamide
408,408,DB00820,O76074|Q9HCR9,P08684|P20815,5|119|231|314|361|441|471|526|638|646|650|656|721|738|798|875|902|926|935|978|1019|1035|1038|1057|1087|1088|1114|1139|1145|1150|1199|1279|1294|1299|1312|1349|1357|1380|1427|1573|1630|1639|1647|1693|1709|1745|1750|1783|1800|1803|1815|1863|1873|1905|1946,Tadalafil
409,409,DB00822,P05091|P09172,P05181|P08684|P20815,80|97|110|116|280|294|407|807|881|932|978|1008|1057|1129|1319|1457,Disulfiram
410,410,DB00823,P06401|P03372,P08684,27|40|57|184|345|408|455|519|521|529|555|559|622|650|674|695|717|757|796|807|909|915|918|926|958|974|1017|1019|1035|1051|1057|1060|1126|1134|1153|1162|1206|1218|1245|1252|1274|1325|1380|1436|1531|1735|1738|1873|1892|1917|1971|2020,Ethynodioldiacetate
411,411,DB00825,Q7Z2W7|O75762|Q8NET8|P41145|Q13936|Q01668|O60840|Q13698|Q02641|Q08289|P54284|O00305|O00555,P08684,1|81|253|283|807|834|849|926|1004|1019|1057|1144|1148|1257|1292|1309|1325|1372|1395|1818|1883,Levomenthol
412,412,DB00827,P43700,P05177,34|45|80|151|158|294|314|378|389|441|456|490|525|650|656|713|719|738|807|875|926|935|979|1057|1221|1349|1357|1380|1426|1469|1720|1800|1863|1873|1905|1917|1956|2021|2037,Cinoxacin
413,413,DB00829,P14867|P47869|P34903|P48169|P31644|Q16445|P18505|P47870|P28472|O14764|P78334|Q8N1C3|P18507|Q99928|O00591|Q9UN88|P14867|P47869|P34903|P31644|Q8N1C3|P18507|Q99928,P11712|P24462|P08684|P33261|P20815|P20813|P23219|P33260|P10632|P05181,135|165|216|314|326|352|378|389|561|624|650|724|732|736|765|798|816|825|843|875|881|926|935|987|1057|1074|1088|1145|1160|1199|1295|1380|1471|1571|1683|1750|1873|1915,Diazepam
414,414,DB00831,P14416|Q9NYX4|P35348|P0DP23|P63316|P26447,P47989|P22310|P05177,4|14|74|80|114|207|397|588|653|675|744|804|809|875|917|926|935|949|1057|1088|1101|1145|1167|1199|1236|1250|1260|1295|1380|1417|1453|1470|1480|1482|1522|1585|1647|1665|1750|1791|1873|1911|1928|2044,Trifluoperazine
415,415,DB00833,Q75Y35|Q8XJ01,P05164,1|5|143|233|251|314|387|389|456|470|561|573|607|650|675|698|753|786|807|859|926|935|936|998|1019|1063|1088|1152|1171|1199|1279|1298|1365|1380|1441|1508|1581|1609|1683|1687|1733|1750|1873|1917|1922|1948|2007,Cefaclor
416,416,DB00834,P06401|P04150|P07288|O75469,P08684|P20815|P10635|P10632|P11712,84|208|216|242|253|280|286|296|314|351|455|519|529|531|621|650|654|674|679|690|709|737|807|815|841|881|888|926|960|1019|1057|1060|1096|1099|1154|1162|1163|1165|1186|1273|1274|1279|1325|1366|1379|1380|1386|1388|1436|1554|1695|1700|1738|1750|1803|1873|1973|1997|2027,Mifepristone
417,417,DB00836,P35372|P41143|P41145|O00555|P01189|P0DP23|Q14994,P08684|P10632|P20813|P10635,41|80|114|216|270|389|408|484|556|561|650|807|816|881|914|926|935|1057|1060|1070|1088|1130|1145|1154|1156|1162|1163|1199|1280|1308|1380|1417|1480|1482|1626|1653|1657|1683|1717|1750|1791|1873|1917|1977|2017|2041|2046,Loperamide
418,418,DB00839,Q09428|Q14654,P11712,2|166|235|307|319|331|350|502|516|650|715|807|836|883|926|935|1028|1057|1152|1380|1476|1480|1606|1722|1750|1796|1823|1873|1874|1917|1920|1989|1998,Tolazamide
419,419,DB00841,P08588|P07550|P35348|P35368|P25100|P03372,P21964,1|80|104|193|283|310|315|507|589|667|732|739|745|782|807|875|1004|1021|1045|1057|1152|1243|1313|1380|1475|1507|1597|1602|1607|1750|1754|1778|1873|2018,Dobutamine
420,420,DB00842,P14867|P47869|P34903|P48169|P31644|Q16445|P18505|P47870|P28472|O14764|P78334|Q8N1C3|P18507|Q99928|O00591|Q9UN88|P14867|P47869|P34903|P31644|Q8N1C3|P18507|Q99928,P54855|P16662|O60656,7|74|106|117|142|165|216|237|314|352|378|389|561|650|724|736|807|816|843|875|941|1019|1032|1034|1060|1088|1114|1160|1199|1223|1257|1380|1571|1600|1683|1750|1873|1982,Oxazepam
421,421,DB00843,P22303|P28223|P06276|P29475|P98066|P01584|Q00653|P19838|Q05586|Q12879|Q13224|Q14957|O15399|Q8TCU5|O60391,P10635|P08684|P11712,29|80|152|196|231|249|276|314|352|354|389|643|650|695|784|800|841|856|875|926|935|1019|1057|1066|1069|1088|1199|1236|1245|1261|1325|1357|1380|1429|1480|1536|1611|1673|1683|1750|1754|1765|1771|1791|1873|1947|1970,Donepezil
422,422,DB00845,P37231|P22001,P08684|P20815|P10632|P10635,1|45|58|191|216|233|283|289|321|335|357|378|419|491|530|561|623|725|737|816|819|843|863|875|935|980|1028|1044|1057|1070|1088|1097|1142|1152|1199|1224|1285|1311|1380|1509|1524|1683|1692|1750|1825|1855|1873|1916|1993|2027,Clofazimine
423,423,DB00846,P04150,P08684,17|26|32|80|84|88|222|242|314|403|479|519|563|622|650|656|679|703|706|753|781|807|841|849|897|926|937|1009|1019|1057|1060|1070|1120|1162|1186|1257|1274|1285|1292|1380|1436|1459|1489|1612|1664|1700|1730|1738|1794|1810|1873|1884|1917|1928|1929|1934|1938|1984|1997|2015,Flurandrenolide
424,424,DB00847,P61278|P49146,P05164,80|229|652|859|981|1171|1459|1840,Cysteamine
425,425,DB00849,P14867|P47869|P34903|P48169|P31644|Q16445|P43681|P36544|P42262|Q13002|O75469,P33261|P20813,80|151|228|255|264|269|294|314|336|389|556|650|713|772|935|981|987|1057|1060|1088|1098|1100|1114|1145|1199|1351|1380|1750|1873|1900,Methylphenobarbital
426,426,DB00850,P14416|P21728|P0DP23,P10635|P05177|P33260|P33261|P10632|P11712|P08684,4|24|74|80|165|205|216|222|397|473|561|588|653|675|744|804|807|816|875|917|926|935|949|1088|1101|1145|1167|1199|1217|1295|1380|1470|1480|1482|1585|1647|1683|1750|1791|1873|1911|2044,Perphenazine
427,427,DB00851,Q14181|P52209,P04798|P05177|P05181,73|140|179|309|378|490|589|650|713|725|806|807|834|870|881|931|1002|1057|1114|1163|1171|1260|1369|1377|1380|1452|1505|1625|1701|1873|1917,Dacarbazine
428,428,DB00852,P23975|Q01959|P35348|P08913|P31645|P07550|P08588|O95644|P01375|P19838|P18846|P15336|P18847|P18848|Q9Y2D1|P18850|P17544|Q8WYK2|P01100|P05412|P60568,P21397,1|220|227|283|348|389|545|803|807|886|1057|1088|1152|1199|1365|1380|1385|1430|1581|1750|1873|1907,Pseudoephedrine
429,429,DB00857,Q92206|Q14534,P11712|P05177|P08684|P10632|P33261|P10635|P23219,71|80|114|157|224|260|392|507|649|674|694|753|866|878|881|1039|1057|1073|1087|1088|1104|1163|1199|1236|1258|1329|1335|1349|1356|1357|1380|1573|1597|1744|1750|1799|1855|1873|2007,Terbinafine
430,430,DB00860,P04150,P08684,51|80|84|182|222|240|314|315|373|408|504|519|529|547|622|650|679|787|807|849|926|967|1009|1019|1057|1060|1102|1154|1162|1223|1227|1257|1274|1307|1325|1380|1428|1436|1489|1531|1604|1612|1664|1738|1762|1831|1873|1917|1938|1997|2021,Prednisolone
431,431,DB00861,P35354|P23219,Q9HAW9|O60656,61|352|389|456|650|680|699|754|807|875|896|1047|1089|1107|1160|1211|1347|1380|1410|1475|1487|1563|1602|1607|1670|1750|1840|1873|1917|1928|1991,Diflunisal
432,432,DB00862,O76074|P18545|Q13956,P08684|P20815,34|74|80|92|94|133|134|235|237|268|294|314|318|319|350|352|357|366|378|389|425|437|507|517|564|585|650|695|715|730|757|794|800|865|875|926|935|977|1057|1114|1238|1243|1334|1380|1413|1434|1440|1452|1476|1480|1609|1663|1722|1726|1729|1750|1791|1810|1855|1873|1970|2042,Vardenafil
433,433,DB00863,P25021|P22303,P05177|P10635|P08684|P22303,80|116|174|197|221|250|274|331|345|507|650|652|656|667|694|715|753|762|807|838|881|893|953|1057|1070|1100|1149|1152|1163|1182|1193|1279|1380|1430|1604|1623|1749|1750|1764|1772|1873|1934|1953|1963|1994,Ranitidine
434,434,DB00864,P62942,P20815|P08684,53|70|80|99|191|207|221|231|305|314|349|370|516|597|634|650|656|684|694|695|703|750|784|786|798|807|825|841|849|879|890|918|926|935|936|937|940|941|960|989|990|1017|1019|1028|1057|1060|1070|1078|1097|1130|1148|1149|1154|1184|1196|1257|1280|1292|1296|1309|1312|1325|1346|1366|1380|1388|1392|1480|1513|1571|1576|1606|1645|1656|1665|1671|1722|1807|1873|1885|1906|1914|1972|1979|1998|2024|2026,Tacrolimus
435,435,DB00865,Q05940|P08913|P35348|Q01959,P08684|P20813|P16435,1|46|79|80|283|389|507|583|589|857|881|1057|1066|1088|1147|1163|1199|1318|1380|1677|1750|1754|1873|2012,Benzphetamine
436,436,DB00866,P08588|P07550|P08908|P13945,P10635,1|80|118|169|227|283|430|606|623|658|694|695|782|807|940|1028|1057|1088|1152|1199|1249|1349|1353|1366|1380|1410|1451|1452|1574|1597|1640|1645|1750|1873|1898|1970|2030|2038,Alprenolol
437,437,DB00867,P07550,P52209,1|80|220|227|283|310|348|507|667|745|782|803|807|886|1045|1057|1152|1243|1313|1365|1380|1507|1553|1602|1659|1750|1754|1778|1853|1873,Ritodrine
438,438,DB00869,P00918|P22748|P00915|P07451,P11712|P00176|P05181|P05183,80|98|162|207|294|350|368|413|469|650|675|722|805|833|875|926|936|982|1019|1027|1057|1152|1171|1292|1309|1362|1380|1476|1521|1569|1595|1607|1620|1642|1683|1726|1800|1873|1966|2000,Dorzolamide
439,439,DB00870,P23219|P35354,P11712|P22309|P16662,1|9|14|79|241|283|383|389|419|444|650|675|807|900|915|921|1057|1088|1146|1257|1365|1380|1385|1567|1697|1750|1775|1844|1853|1873|1917|1957,Suprofen
440,440,DB00871,P07550|P13945|P08588,P06276,1|80|89|114|167|227|269|392|603|606|632|745|807|843|875|942|1057|1152|1362|1365|1380|1435|1578|1602|1873|1983,Terbutaline
441,441,DB00872,P37288|P30518,P08684,191|222|307|323|352|378|389|486|650|676|736|807|838|843|847|917|926|935|980|984|1057|1077|1088|1114|1152|1160|1199|1295|1380|1382|1385|1387|1401|1406|1447|1480|1504|1511|1539|1621|1647|1697|1722|1738|1745|1750|1816|1842|1855|1873|1895|1917|1941|1978|1989|1991|2036,Conivaptan
442,442,DB14596,P04150,P08684|P27169,51|80|84|106|147|155|182|185|240|245|294|314|373|408|504|519|529|547|622|650|679|695|718|787|807|833|849|926|967|984|1009|1019|1057|1060|1102|1109|1146|1153|1162|1223|1238|1257|1274|1320|1325|1380|1428|1436|1489|1531|1571|1683|1722|1730|1738|1831|1873|1884|1887|1917|1938|2021,Loteprednoletabonate
443,443,DB00875,P14416|P28223|P21728|P35348|P11229,P20711,74|80|114|118|205|222|277|288|352|397|401|473|675|694|744|770|807|809|875|926|935|949|984|1005|1088|1120|1145|1194|1197|1199|1217|1260|1380|1417|1453|1480|1482|1522|1585|1665|1750|1768|1791|1873|1928|1966|2044,Flupentixol
444,444,DB00877,P42345|P62942|P09038,P08684|P20815|P24462,1|6|7|29|42|53|80|97|99|153|164|171|191|231|232|283|308|314|346|348|370|454|516|526|528|543|554|586|611|634|650|656|684|691|695|750|786|798|807|812|841|849|862|879|885|890|910|918|926|935|937|941|953|977|1019|1028|1035|1057|1060|1070|1081|1083|1099|1154|1196|1249|1256|1257|1292|1296|1309|1312|1325|1380|1392|1405|1416|1418|1450|1480|1513|1540|1574|1576|1662|1671|1690|1693|1702|1718|1721|1722|1761|1807|1859|1873|1958|1972|1998|2026,Sirolimus
445,445,DB00879,Q72547,P27707,4|53|80|222|314|353|378|464|577|606|639|650|656|675|699|807|821|822|899|926|935|966|989|998|1019|1171|1380|1457|1459|1512|1516|1565|1593|1713|1828|1840|1855|1873|1887|1921|1928,Emtricitabine
446,446,DB00881,P12821,P23141,1|80|108|147|153|156|231|242|283|294|389|408|500|531|628|650|690|695|736|739|807|808|926|935|969|979|989|1019|1045|1057|1066|1088|1121|1152|1199|1236|1238|1243|1380|1431|1527|1583|1597|1614|1708|1722|1750|1754|1818|1873|1917|1946,Quinapril
447,447,DB00882,P03372|P04278,P05093,13|80|102|106|250|251|294|322|389|390|620|695|718|804|807|881|932|1034|1057|1088|1196|1199|1256|1292|1380|1385|1452|1683|1697|1750|1839|1873|1951|1981|1985|1994,Clomifene
448,448,DB00883,P16066,P05181,41|221|252|426|584|650|656|695|715|753|798|802|838|904|926|1019|1492|1673|1831|1923|1963,Isosorbidedinitrate
449,449,DB00884,P14324,P35354,80|114|192|378|437|486|610|645|650|807|888|889|1043|1066|1088|1380|1500|1534|1535|1586|1603|1750|1754|1780|1838|1866|1873|1898|1908,Risedronicacid
450,450,DB00887,Q13621|P55011|Q9UP95|Q9H2X9|P13569,P35354,80|143|193|294|322|333|350|389|392|456|510|562|591|650|667|691|695|794|807|833|875|895|899|930|1029|1057|1088|1138|1139|1152|1171|1199|1224|1314|1380|1385|1416|1476|1607|1617|1750|1766|1873|1911|1917|1972,Bumetanide
451,451,DB00889,P46098,P08684|P04798,1|45|378|387|486|490|592|650|667|807|832|838|910|926|935|1019|1028|1050|1057|1063|1088|1105|1145|1152|1199|1285|1292|1325|1357|1380|1573|1578|1634|1750|1861|1873|1910|1917|1923|1956|1992|1993|2041,Granisetron
452,452,DB00891,Q49184,P11712,4|315|319|350|378|448|502|650|715|883|888|993|1088|1099|1152|1155|1168|1171|1199|1270|1380|1452|1457|1476|1536|1675|1750|1804|1866|1873,Sulfapyridine
453,453,DB00896,P04150,P08684|P20815,51|80|84|182|240|294|314|373|408|447|504|519|547|622|650|679|787|807|849|898|910|926|967|975|1009|1019|1022|1057|1060|1102|1223|1256|1257|1274|1285|1292|1309|1325|1343|1380|1428|1436|1489|1556|1738|1831|1873|1917|1938|1997|2021|2026,Rimexolone
454,454,DB00897,P14867|P47869|P34903|P48169|P31644|Q16445|P18505|P47870|P28472|O14764|P78334|Q8N1C3|P18507|Q99928|O00591|Q9UN88|P14867|P47869|P34903|P31644|Q8N1C3|P18507|Q99928,P24462|P08684|P10632|P20815,124|135|165|168|216|326|352|366|378|421|470|561|624|724|816|843|871|875|881|917|926|935|974|982|984|1056|1057|1088|1164|1199|1295|1356|1380|1536|1652|1683|1710|1722|1750|1873|1915|1993,Triazolam
